y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,diameter_mm,ref_diameter_mm
4,419,4.0,10.059411708155672,60.236243310524586,0.88,2.213070575794248
3,418,4.47213595499958,10.039607805437115,55.45507317404243,0.9838699100999075,2.208713717196165
3,417,5.656854249492381,10.019803902718557,43.543263932421894,1.2445079348883237,2.2043568585980826
2,416,5.656854249492381,10.0,43.431457561644734,1.2445079348883237,2.2
1,415,6.324555320336759,10.0,36.754446859877966,1.391402170474087,2.2
0,414,8.0,10.0,20.000000080000003,1.76,2.2
0,413,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,412,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,411,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,410,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,409,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,408,10.198039027185569,10.039607805437115,-1.5780617595922974,2.243568585980825,2.208713717196165
0,407,10.770329614269007,10.198039027185569,-5.6117708021774515,2.3694725151391816,2.243568585980825
0,406,11.661903789690601,10.198039027185569,-14.354374867239429,2.5656188337319326,2.243568585980825
0,405,12.0,10.255268085893917,-17.013030647191485,2.64,2.2561589788966616
0,404,12.0,10.770329614269007,-11.417202802782844,2.64,2.3694725151391816
0,403,12.0,10.859487031811174,-10.502457011068977,2.64,2.3890871469984583
0,402,12.0,11.661903789690601,-2.899150997270006,2.64,2.5656188337319326
0,401,11.661903789690601,11.661903789690601,8.574929655225105e-08,2.5656188337319326,2.5656188337319326
0,400,10.770329614269007,11.661903789690601,7.645185560913726,2.3694725151391816,2.5656188337319326
0,399,10.198039027185569,11.661903789690601,12.552536855464979,2.243568585980825,2.5656188337319326
0,398,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,397,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,396,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,395,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,394,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,393,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
